ProviderID,ProviderName,Specialty,ContactInformation
DR101,Dr. Arjun Gupta,General Medicine,"Ext: 5101, Pager: 111"
DR102,Dr. Sneha Patil,General Surgery,"Ext: 5201, Pager: 222"
DR103,Dr. Vikram Singh,Orthopedics,"Ext: 5301, Pager: 333"
DR104,Dr. Aisha Sharma,Pediatrics,"Ext: 5401, Pager: 444"
DR105,Dr. Rohan Krishnamurthy,Cardiology,"Ext: 5501, Pager: 555"
DR106,Dr. Meena Iyer,General Medicine,"Ext: 5102, Pager: 112"
DR107,Dr. Sameer Khan,General Medicine,"Ext: 5103, Pager: 113"
DR108,Dr. David Fernandez,General Surgery,"Ext: 5202, Pager: 223"
DR109,Dr. Pooja Mehta,General Surgery,"Ext: 5203, Pager: 224"
DR110,Dr. Anjali Rao,Orthopedics,"Ext: 5302, Pager: 334"
DR111,Dr. Rahul Desai,Orthopedics,"Ext: 5303, Pager: 335"
DR112,Dr. Fatima Ali,Pediatrics,"Ext: 5402, Pager: 445"
DR113,Dr. Kevin D'Souza,Pediatrics,"Ext: 5403, Pager: 446"
DR114,Dr. Sunita Reddy,Cardiology,"Ext: 5502, Pager: 556"
DR115,Dr. Michael Pereira,Cardiology,"Ext: 5503, Pager: 557"
